gene,CellType,pair,avg_log2FC,p_val_adj
CG10710,fru_2,simsec,0.604188859620768,1.75721063968091e-45
CG10710,Glu_1,simsec,0.627867500670173,4.19295126546693e-198
CG10710,Glu_2,simsec,0.679157448856897,2.91645432883756e-213
CG10710,Dh31,simsec,0.842550954557966,1.03554762764709e-10
CG10710,fru_9,simsec,0.662965012722429,0.000162949218108663
CG10710,sNPF_CCHa2_AstC,simsec,0.878984599038634,2.57119527248105e-14
CG10710,Poxn_1,simsec,0.792195114886598,4.02077899813742e-33
CG10710,Glu_13,simsec,0.896377368925843,1.46729806857126e-09
CG10710,Glu_7,simsec,0.699245928217047,2.68644824711564e-17
CG10710,NPF_Dh31,simsec,0.670431842910506,8.63526666969336e-12
CG10710,GABA_3,simsec,0.948472951379427,1.77458579301515e-25
CG10710,NPF_AstA,simsec,0.681177815980459,8.19896157426762e-07
CG10710,Glu_4,simsec,0.662371677307573,8.89618533951198e-25
CG10710,fru_11,simsec,0.817135942850189,8.65808732684621e-07
CG10710,Clock_1,simsec,0.960930435321408,4.47815543698875e-29
CG10710,Poxn_5,simsec,1.1926450779424,0.000171506491990374
CG10710,fru_8,simsec,0.792195114886598,6.26905196609806e-10
CG10710,Tk_2,simsec,0.720324997551965,1.87853043978205e-12
CG10710,AstC_FMRFa,simsec,0.858987690472926,1.31448636734187e-07
CG10710,TY_3,simsec,0.62148837674627,0.0465618542879133
CG10710,Tk_Mip_RYa,simsec,1.10507385709234,2.89619821335537e-11
CG10710,FMRFa_Dh44,simsec,0.726981505593584,0.00177590469317228
CG10710,Glu_12,simsec,1.05658352836637,8.27507353897356e-12
CG10710,MS,simsec,0.652076696579693,0.0136120346684564
CG10710,Ach_10,simsec,0.597562537500789,5.36252467807565e-12
CG10710,Tk_sNPF,simsec,1.08246216019197,0.000252019978236917
CG10710,FMRFa,simsec,1.3743955147815,9.59772966998751e-10
CG10799,ENS,melsim,-0.656849176999056,2.87794691458916e-84
CG10799,ENS,simsec,0.654601988007499,1.80822253598472e-58
CG10962,Glu_9,melsec,-1.03992216657502,2.63256784981834e-09
CG10962,Ach_3,melsec,-0.666212913260442,7.32128709267588e-123
CG10962,Ach_2,melsec,-0.601394135487621,3.41187452524138e-212
CG10962,GABA_5,melsec,-1.79445517994821,2.61933831008229e-18
CG10962,DOP_1,melsec,-1.16898727307593,1.08662049935123e-62
CG10962,Ach_1,melsec,-0.685182806996329,1.14024748254525e-244
CG10962,DOP/SER,melsec,-0.932768799198038,5.54324441891715e-23
CG10962,fru_1,melsec,-0.864436017264871,1.59877694246998e-51
CG10962,sNPF,melsec,-1.01336532104991,8.80411477661856e-36
CG10962,CCHa2,melsec,-0.711702682993918,3.4389099874462e-35
CG10962,fru_2,melsec,-0.75405889855955,1.88380135414696e-44
CG10962,Glu_1,melsec,-0.752104883883322,1.03574385225053e-173
CG10962,DOP_2,melsec,-0.930097986769844,9.42502627964518e-08
CG10962,Glu_2,melsec,-0.713233763531856,6.06296693788063e-132
CG10962,Dh31,melsec,-0.64643834851661,7.85778662113839e-07
CG10962,fru_9,melsec,-1.17632277264046,7.82556508063014e-13
CG10962,Tk_1,melsec,-1.08511661363795,9.78527331980728e-37
CG10962,Tk_3,melsec,-1.30932805810773,3.17436607928245e-13
CG10962,Ach_15,melsec,-0.881688491364308,2.30949933619347e-05
CG10962,sNPF_CCHa2_AstC,melsec,-0.823677227359537,2.98615075942255e-12
CG10962,fru_7,melsec,-0.836417387660067,4.68992101970765e-05
CG10962,Glu_7,melsec,-1.14809863898913,2.12172337418368e-19
CG10962,NPF_Dh31,melsec,-1.30522801194026,6.69188807453278e-23
CG10962,NPF_AstA,melsec,-0.83625843745747,1.02963465069131e-06
