gene,pair,correlation,value,percent_expressed
CG3726,melsec,r,0.752780961978385,18.2949096089408
CG3726,melsim,rho,0.862023698145001,18.2949096089408
CG3726,melsim,r,0.79579415275337,18.2949096089408
CG3726,simsec,rho,0.835306536316303,18.2949096089408
CG3726,simsec,r,0.858184888753578,18.2949096089408
CG3961,melsec,rho,0.707276200012885,17.2836533638315
CG3961,melsec,r,0.839006686121602,17.2836533638315
CG3961,melsim,rho,0.880677100292954,17.2836533638315
CG3961,melsim,r,0.857198766251961,17.2836533638315
CG3961,simsec,rho,0.743326426178101,17.2836533638315
CG3961,simsec,r,0.809093324637934,17.2836533638315
CG4168,melsec,rho,0.790399451406705,28.5218403258492
CG4168,melsec,r,0.84438347913049,28.5218403258492
CG4168,melsim,rho,0.868916095821724,28.5218403258492
CG4168,melsim,r,0.906183250663373,28.5218403258492
CG4168,simsec,rho,0.854059058215826,28.5218403258492
CG4168,simsec,r,0.903066849239996,28.5218403258492
CG42238,melsec,rho,0.713836477987421,58.3639318605911
CG42238,melsec,r,0.890293319065254,58.3639318605911
CG42238,melsim,rho,0.844099610102079,58.3639318605911
CG42238,melsim,r,0.926588602049343,58.3639318605911
CG42238,simsec,rho,0.784155253825506,58.3639318605911
CG42238,simsec,r,0.887618014823588,58.3639318605911
CG42260,melsec,rho,0.757961455853328,63.5666847248139
CG42260,melsec,r,0.861348970836908,63.5666847248139
CG42260,melsim,rho,0.768526931679384,63.5666847248139
CG42260,melsim,r,0.881624768004083,63.5666847248139
CG42260,simsec,rho,0.766472697349086,63.5666847248139
CG42260,simsec,r,0.878489705379006,63.5666847248139
CG42340,melsec,rho,0.718003477749749,42.1858383996469
CG42340,melsec,r,0.555812420235508,42.1858383996469
CG42340,melsim,rho,0.723602165021675,42.1858383996469
CG42340,melsim,r,0.721671906164646,42.1858383996469
CG42340,simsec,rho,0.781905904827215,42.1858383996469
CG42340,simsec,r,0.776452324421078,42.1858383996469
CG42342,melsec,rho,0.856099532228438,48.2252854190493
CG42342,melsec,r,0.977645494928877,48.2252854190493
CG42342,melsim,rho,0.851397222708654,48.2252854190493
CG42342,melsim,r,0.959282535276846,48.2252854190493
CG42342,simsec,rho,0.883383295127256,48.2252854190493
CG42342,simsec,r,0.96645124595043,48.2252854190493
CG42402,melsec,rho,0.80072101726131,53.9577439354722
CG42402,melsec,r,0.823750557939449,53.9577439354722
CG42402,melsim,rho,0.811056251102098,53.9577439354722
CG42402,melsim,r,0.858003228820634,53.9577439354722
CG42402,simsec,rho,0.919443954622935,53.9577439354722
CG42402,simsec,r,0.937190838031556,53.9577439354722
CG42524,melsec,rho,0.830309578377739,34.4609643050623
CG42524,melsec,r,0.885564801739217,34.4609643050623
CG42524,melsim,rho,0.87781060175647,34.4609643050623
CG42524,melsim,r,0.870803489858163,34.4609643050623
CG42524,simsec,rho,0.860877147215882,34.4609643050623
CG42524,simsec,r,0.886354751203017,34.4609643050623
CG42540,melsec,rho,0.867748192558632,81.0690423162584
CG42540,melsec,r,0.856500932236712,81.0690423162584
CG42540,melsim,rho,0.861074034255884,81.0690423162584
CG42540,melsim,r,0.832430713669652,81.0690423162584
CG42540,simsec,rho,0.872271381376128,81.0690423162584
CG42540,simsec,r,0.890418335962942,81.0690423162584
CG42594,melsec,rho,0.861952927932752,41.5377515600233
CG42594,melsec,r,0.755776800231595,41.5377515600233
CG42594,melsim,rho,0.868553627017307,41.5377515600233
CG42594,melsim,r,0.777645106155829,41.5377515600233
CG42594,simsec,rho,0.918926597261205,41.5377515600233
CG42594,simsec,r,0.886731181430774,41.5377515600233
CG42674,melsec,rho,0.767908225280785,30.9817612712936
CG42674,melsec,r,0.80726728928886,30.9817612712936
CG42674,melsim,rho,0.803990340577389,30.9817612712936
CG42674,melsim,r,0.826995906943973,30.9817612712936
CG42674,simsec,rho,0.793558500856905,30.9817612712936
CG42674,simsec,r,0.827467492663307,30.9817612712936
CG42750,melsec,rho,0.856854562197535,70.4929874194908
CG42750,melsec,r,0.908344357856962,70.4929874194908
CG42750,melsim,rho,0.883628205881777,70.4929874194908
CG42750,melsim,r,0.865546199147467,70.4929874194908
CG42750,simsec,rho,0.914242050196908,70.4929874194908
CG42750,simsec,r,0.901516072181015,70.4929874194908
CG4297,melsec,rho,0.716631398683039,7.96163646943157
CG4297,melsec,r,0.699014493110995,7.96163646943157
CG4297,melsim,rho,0.822873574753392,7.96163646943157
CG4297,melsim,r,0.845614777427456,7.96163646943157
CG4297,simsec,rho,0.762879528378853,7.96163646943157
CG4297,simsec,r,0.852254560393297,7.96163646943157
CG43737,melsec,rho,0.758511914975669,54.9870583278156
CG43737,melsec,r,0.765849456783294,54.9870583278156
CG43737,melsim,rho,0.76919610493936,54.9870583278156
CG43737,melsim,r,0.787621165323764,54.9870583278156
CG43737,simsec,rho,0.810433249256618,54.9870583278156
CG43737,simsec,r,0.818812068384168,54.9870583278156
CG43759,melsec,rho,0.811328702880905,38.0946648207227
CG43759,melsec,r,0.709555922987318,38.0946648207227
CG43759,melsim,rho,0.826444742733898,38.0946648207227
CG43759,melsim,r,0.809139146277287,38.0946648207227
CG43759,simsec,rho,0.883204671029429,38.0946648207227
CG43759,simsec,r,0.881663069810374,38.0946648207227
CG43902,melsec,rho,0.825243265374383,24.2099560585084
CG43902,melsec,r,0.874778887502151,24.2099560585084
CG43902,melsim,rho,0.855418647551766,24.2099560585084
CG43902,melsim,r,0.873048945757461,24.2099560585084
CG43902,simsec,rho,0.882157009736042,24.2099560585084
CG43902,simsec,r,0.904754138109182,24.2099560585084
CG44153,melsec,rho,0.707778292103822,30.7128955235859
CG44153,melsec,r,0.71518227799995,30.7128955235859
CG44153,melsim,rho,0.738315193467838,30.7128955235859
CG44153,melsim,r,0.779995850592467,30.7128955235859
CG44153,simsec,rho,0.879284460043346,30.7128955235859
CG44153,simsec,r,0.886636977734165,30.7128955235859
CG44422,melsec,rho,0.834799944162715,48.285479243163
CG44422,melsec,r,0.795148534489794,48.285479243163
CG44422,melsim,rho,0.878729990791356,48.285479243163
CG44422,melsim,r,0.838114599105037,48.285479243163
CG44422,simsec,rho,0.881279220988607,48.285479243163
CG44422,simsec,r,0.870500210678847,48.285479243163
CG4467,melsec,rho,0.749459969150085,66.1429803968779
CG4467,melsec,r,0.887409598707128,66.1429803968779
CG4467,melsim,rho,0.791326240717882,66.1429803968779
CG4467,melsim,r,0.906860133067081,66.1429803968779
CG4467,simsec,rho,0.80698488894211,66.1429803968779
CG4467,simsec,r,0.897741745142506,66.1429803968779
CG44837,melsec,rho,0.77565875031765,24.5390156303297
CG44837,melsec,r,0.693422916290774,24.5390156303297
CG44837,melsim,rho,0.728349011950072,24.5390156303297
CG44837,melsim,r,0.695084762464758,24.5390156303297
CG44837,simsec,rho,0.723158611468284,24.5390156303297
CG44837,simsec,r,0.730952651650973,24.5390156303297
CG44838,melsec,rho,0.714161509243872,44.4852424807881
CG44838,melsec,r,0.643774634411591,44.4852424807881
CG44838,melsim,rho,0.767805754957496,44.4852424807881
CG44838,melsim,r,0.779293518284873,44.4852424807881
CG44838,simsec,rho,0.790712938708024,44.4852424807881
CG44838,simsec,r,0.691346005417065,44.4852424807881
CG45002,melsec,rho,0.859019573267501,56.347438752784
CG45002,melsec,r,0.874520624011793,56.347438752784
CG45002,melsim,rho,0.893228707459002,56.347438752784
CG45002,melsim,r,0.871714621107045,56.347438752784
CG45002,simsec,rho,0.842336252669527,56.347438752784
CG45002,simsec,r,0.81076654429398,56.347438752784
CG45263,melsec,rho,0.843786124336292,62.1461104757319
CG45263,melsec,r,0.839169746294887,62.1461104757319
CG45263,melsim,rho,0.901702619565431,62.1461104757319
CG45263,melsim,r,0.85102459746983,62.1461104757319
CG45263,simsec,rho,0.868032289033876,62.1461104757319
CG45263,simsec,r,0.930423877871494,62.1461104757319
CG4577,melsec,rho,0.845791565745316,40.3178233913201
CG4577,melsec,r,0.948743926979937,40.3178233913201
CG4577,melsim,rho,0.813938395000372,40.3178233913201
CG4577,melsim,r,0.949307881524724,40.3178233913201
CG4577,simsec,rho,0.836987401790788,40.3178233913201
CG4577,simsec,r,0.91839043317443,40.3178233913201
CG4678,melsec,rho,0.748776652840445,21.429001384458
CG4678,melsec,r,0.728946623717532,21.429001384458
CG4678,melsim,rho,0.772605705561994,21.429001384458
CG4678,melsim,r,0.77727570114356,21.429001384458
CG4678,simsec,rho,0.783702499103223,21.429001384458
CG4678,simsec,r,0.788648700860514,21.429001384458
CG6006,melsec,rho,0.848193030791997,15.062501254038
CG6006,melsec,r,0.952333020105032,15.062501254038
CG6006,melsim,rho,0.784171675174602,15.062501254038
CG6006,melsim,r,0.96880308702464,15.062501254038
CG6006,simsec,rho,0.824226690514651,15.062501254038
CG6006,simsec,r,0.973133650684415,15.062501254038
CG6154,melsec,rho,0.707374873543283,17.4822929834066
CG6154,melsec,r,0.767176506991704,17.4822929834066
CG6154,melsim,rho,0.749463550861434,17.4822929834066
CG6154,melsim,r,0.851000665080319,17.4822929834066
CG6154,simsec,rho,0.763009166711626,17.4822929834066
CG6154,simsec,r,0.806800237618537,17.4822929834066
CG6329,melsec,rho,0.898606947628284,83.8259194606633
CG6329,melsec,r,0.89531643588279,83.8259194606633
CG6329,melsim,rho,0.867336742491036,83.8259194606633
CG6329,melsim,r,0.882254273296554,83.8259194606633
CG6329,simsec,rho,0.928123591763162,83.8259194606633
CG6329,simsec,r,0.924874073201323,83.8259194606633
CG6959,melsec,rho,0.702919443407775,13.5014747486908
CG6959,melsec,r,0.664032622228685,13.5014747486908
CG6959,melsim,rho,0.731181481368024,13.5014747486908
CG6959,melsim,r,0.758119566821552,13.5014747486908
CG6959,simsec,rho,0.791940670698647,13.5014747486908
CG6959,simsec,r,0.705539496727507,13.5014747486908
CG8861,melsec,rho,0.769371315546169,28.798731916772
CG8861,melsec,r,0.707346312184562,28.798731916772
CG8861,melsim,rho,0.81920735166695,28.798731916772
CG8861,melsim,r,0.794956629666768,28.798731916772
CG8861,simsec,rho,0.853196247005611,28.798731916772
CG8861,simsec,r,0.587911242874016,28.798731916772
CG8910,melsec,rho,0.719940045408947,18.4293424827946
CG8910,melsec,r,0.734292777955203,18.4293424827946
CG8910,melsim,rho,0.751983189122207,18.4293424827946
CG8910,melsim,r,0.66080231089827,18.4293424827946
CG8910,simsec,rho,0.762439139090428,18.4293424827946
CG8910,simsec,r,0.851986033531995,18.4293424827946
CG9932,melsec,rho,0.837104958952958,34.3847187945183
CG9932,melsec,r,0.954798681206278,34.3847187945183
CG9932,melsim,rho,0.919431511767074,34.3847187945183
CG9932,melsim,r,0.964935418020579,34.3847187945183
CG9932,simsec,rho,0.859717225352863,34.3847187945183
CG9932,simsec,r,0.972546982730733,34.3847187945183
COX4,melsec,rho,0.770671231838984,24.1276911655531
COX4,melsec,r,0.799091288767367,24.1276911655531
COX4,melsim,rho,0.830054762581189,24.1276911655531
COX4,melsim,r,0.812981232020435,24.1276911655531
COX4,simsec,rho,0.80083956023742,24.1276911655531
COX4,simsec,r,0.80914415431921,24.1276911655531
Ca-Ma2d,melsec,rho,0.7747881459711,20.130821244407
Ca-Ma2d,melsec,r,0.908573215541181,20.130821244407
Ca-Ma2d,melsim,rho,0.718690377934122,20.130821244407
Ca-Ma2d,melsim,r,0.916551867271243,20.130821244407
Ca-Ma2d,simsec,rho,0.738866669444613,20.130821244407
Ca-Ma2d,simsec,r,0.809339691077691,20.130821244407
Ca-alpha1T,melsec,rho,0.875506965261859,61.1990609763438
Ca-alpha1T,melsec,r,0.887945818167672,61.1990609763438
Ca-alpha1T,melsim,rho,0.908080095613159,61.1990609763438
Ca-alpha1T,melsim,r,0.893030407221242,61.1990609763438
Ca-alpha1T,simsec,rho,0.91309586786575,61.1990609763438
Ca-alpha1T,simsec,r,0.873598646206944,61.1990609763438
Cad87A,melsec,rho,0.77084869131849,25.634543229198
Cad87A,melsec,r,0.722186424726218,25.634543229198
Cad87A,melsim,rho,0.80385587491918,25.634543229198
Cad87A,melsim,r,0.790574062970607,25.634543229198
Cad87A,simsec,rho,0.750163478331269,25.634543229198
Cad87A,simsec,r,0.764121924042199,25.634543229198
CadN,melsec,rho,0.739248417876526,57.9827043078713
CadN,melsec,r,0.811772918550116,57.9827043078713
CadN,melsim,rho,0.796792648758792,57.9827043078713
CadN,melsim,r,0.843368817007472,57.9827043078713
CadN,simsec,rho,0.749681616019123,57.9827043078713
CadN,simsec,r,0.898301106263223,57.9827043078713
CadN2,melsec,rho,0.816480978692161,32.2478380384839
CadN2,melsec,r,0.842464747764264,32.2478380384839
CadN2,melsim,rho,0.843404743274346,32.2478380384839
CadN2,melsim,r,0.860782549471206,32.2478380384839
CadN2,simsec,rho,0.886914354289633,32.2478380384839
CadN2,simsec,r,0.88858126808559,32.2478380384839
Calx,melsec,rho,0.856883250471455,34.5933907181123
Calx,melsec,r,0.879416505872144,34.5933907181123
Calx,melsim,rho,0.862836052307478,34.5933907181123
Calx,melsim,r,0.813364130331342,34.5933907181123
Calx,simsec,rho,0.89852488448619,34.5933907181123
Calx,simsec,r,0.841396806627273,34.5933907181123
Cam,melsec,rho,0.831185052572715,93.9364754509521
Cam,melsec,r,0.803869247739452,93.9364754509521
Cam,melsim,rho,0.816470778404206,93.9364754509521
Cam,melsim,r,0.808595095503154,93.9364754509521
Cam,simsec,rho,0.816972398422767,93.9364754509521
Cam,simsec,r,0.852573006709298,93.9364754509521
Cbp53E,melsec,rho,0.81991222398558,36.2467144204338
Cbp53E,melsec,r,0.925863525743948,36.2467144204338
Cbp53E,melsim,rho,0.795246760437446,36.2467144204338
Cbp53E,melsim,r,0.922301656063645,36.2467144204338
Cbp53E,simsec,rho,0.8255471931959,36.2467144204338
Cbp53E,simsec,r,0.931300525702426,36.2467144204338
Ccn,melsec,rho,0.830433962702457,27.7393206123718
Ccn,melsec,r,0.896864575258244,27.7393206123718
Ccn,melsim,rho,0.866891339262542,27.7393206123718
Ccn,melsim,r,0.877947962134911,27.7393206123718
Ccn,simsec,rho,0.851217606825439,27.7393206123718
Ccn,simsec,r,0.956637269176849,27.7393206123718
ChT,melsec,rho,0.866934953554068,23.6822568671121
ChT,melsec,r,0.869108815037892,23.6822568671121
ChT,melsim,rho,0.862853016266311,23.6822568671121
ChT,melsim,r,0.946965320192427,23.6822568671121
ChT,simsec,rho,0.914267310675167,23.6822568671121
ChT,simsec,r,0.887822759449069,23.6822568671121
Cirl,melsec,rho,0.914846771213904,70.6535042837938
Cirl,melsec,r,0.847244427667389,70.6535042837938
Cirl,melsim,rho,0.886706456600694,70.6535042837938
Cirl,melsim,r,0.851709043235878,70.6535042837938
Cirl,simsec,rho,0.855306726228962,70.6535042837938
Cirl,simsec,r,0.796668340475875,70.6535042837938
Cngl,melsec,rho,0.815311895383394,73.5147173899958
Cngl,melsec,r,0.726636456196371,73.5147173899958
Cngl,melsim,rho,0.804139971394424,73.5147173899958
Cngl,melsim,r,0.694371099353637,73.5147173899958
Cngl,simsec,rho,0.807783301912656,73.5147173899958
Cngl,simsec,r,0.806857738530637,73.5147173899958
Con,melsec,rho,0.847959403593331,51.3533578121551
Con,melsec,r,0.858092601100688,51.3533578121551
Con,melsim,rho,0.906132825226628,51.3533578121551
Con,melsim,r,0.937640886379355,51.3533578121551
Con,simsec,rho,0.87217831506148,51.3533578121551
Con,simsec,r,0.863085059329579,51.3533578121551
Corin,melsec,rho,0.856885349088679,30.5122494432071
Corin,melsec,r,0.88264396662348,30.5122494432071
Corin,melsim,rho,0.819945629556014,30.5122494432071
Corin,melsim,r,0.84900918934584,30.5122494432071
Corin,simsec,rho,0.836048992069829,30.5122494432071
Corin,simsec,r,0.83119362227434,30.5122494432071
Cow,melsec,rho,0.727502498089696,39.6637171692851
Cow,melsec,r,0.874630762775515,39.6637171692851
Cow,melsim,rho,0.774731087991536,39.6637171692851
Cow,melsim,r,0.851421314061563,39.6637171692851
Cow,simsec,rho,0.856119829933972,39.6637171692851
Cow,simsec,r,0.917772172938383,39.6637171692851
Cyt-c-p,melsec,rho,0.789234955434318,27.2377054114248
Cyt-c-p,melsec,r,0.794460081596088,27.2377054114248
Cyt-c-p,melsim,rho,0.733182302500449,27.2377054114248
Cyt-c-p,melsim,r,0.728113503781341,27.2377054114248
Cyt-c-p,simsec,rho,0.762463630405808,27.2377054114248
Cyt-c-p,simsec,r,0.694609187484681,27.2377054114248
DIP-beta,melsec,rho,0.81442378960429,13.4071710909127
DIP-beta,melsec,r,0.902625737653109,13.4071710909127
DIP-beta,melsim,rho,0.834446327306299,13.4071710909127
DIP-beta,melsim,r,0.930856941322737,13.4071710909127
DIP-beta,simsec,rho,0.84538322877816,13.4071710909127
DIP-beta,simsec,r,0.944646037785681,13.4071710909127
DIP-delta,melsec,rho,0.832369602435947,25.2131864604025
DIP-delta,melsec,r,0.912175358774712,25.2131864604025
DIP-delta,melsim,rho,0.884763372261751,25.2131864604025
DIP-delta,melsim,r,0.946263594564021,25.2131864604025
DIP-delta,simsec,rho,0.856122244304014,25.2131864604025
DIP-delta,simsec,r,0.922278145289339,25.2131864604025
DIP-eta,melsec,rho,0.797640021728509,5.20676578583037
DIP-eta,melsec,r,0.913255244377844,5.20676578583037
DIP-eta,melsim,rho,0.78774021753138,5.20676578583037
DIP-eta,melsim,r,0.912336040164382,5.20676578583037
DIP-eta,simsec,rho,0.730055663683843,5.20676578583037
DIP-eta,simsec,r,0.925404341226009,5.20676578583037
DIP-gamma,melsec,rho,0.863635825621286,16.0235959790525
DIP-gamma,melsec,r,0.876274632151493,16.0235959790525
DIP-gamma,melsim,rho,0.842159431089559,16.0235959790525
DIP-gamma,melsim,r,0.870832726025949,16.0235959790525
DIP-gamma,simsec,rho,0.872701178282686,16.0235959790525
DIP-gamma,simsec,r,0.888147612055808,16.0235959790525
DIP-kappa,melsec,rho,0.893604712151004,20.29133810871
DIP-kappa,melsec,r,0.857922656596203,20.29133810871
DIP-kappa,melsim,rho,0.89416034690901,20.29133810871
DIP-kappa,melsim,r,0.855843778708159,20.29133810871
DIP-kappa,simsec,rho,0.87509675194843,20.29133810871
DIP-kappa,simsec,r,0.860839858366325,20.29133810871
DIP-theta,melsec,rho,0.815415423759928,15.2491021087903
DIP-theta,melsec,r,0.897640765411825,15.2491021087903
DIP-theta,melsim,rho,0.811626113566475,15.2491021087903
DIP-theta,melsim,r,0.826626985379661,15.2491021087903
DIP-theta,simsec,rho,0.855297715396609,15.2491021087903
DIP-theta,simsec,r,0.893070326543316,15.2491021087903
DIP-zeta,melsec,rho,0.756105460460935,11.1759866771003
DIP-zeta,melsec,r,0.944082861374375,11.1759866771003
DIP-zeta,melsim,rho,0.714733294753167,11.1759866771003
DIP-zeta,melsim,r,0.92197446307286,11.1759866771003
DIP-zeta,simsec,rho,0.724736243911476,11.1759866771003
DIP-zeta,simsec,r,0.936181634198729,11.1759866771003
Ddc,melsec,rho,0.731519034463841,64.9551556010353
Ddc,melsec,r,0.853559048577945,64.9551556010353
Ddc,melsim,rho,0.728748429508126,64.9551556010353
Ddc,melsim,r,0.862440449782905,64.9551556010353
Ddc,simsec,rho,0.897698078183295,64.9551556010353
Ddc,simsec,r,0.90919486010501,64.9551556010353
Dgk,melsec,rho,0.797304015813868,34.065691526716
Dgk,melsec,r,0.869330792300581,34.065691526716
Dgk,melsim,rho,0.83706292507678,34.065691526716
Dgk,melsim,r,0.903435103561661,34.065691526716
Dgk,simsec,rho,0.870588523425828,34.065691526716
Dgk,simsec,r,0.932697457656677,34.065691526716
Dh31,melsec,rho,0.761941163028351,11.2241417363912
Dh31,melsec,r,0.961172366660307,11.2241417363912
Dh31,melsim,rho,0.734366662845759,11.2241417363912
Dh31,melsim,r,0.982647129503414,11.2241417363912
Dh31,simsec,rho,0.777908450220424,11.2241417363912
Dh31,simsec,r,0.969885733260194,11.2241417363912
Dh31-R,melsec,rho,0.784613533275613,7.01258050923975
Dh31-R,melsec,r,0.815881394562661,7.01258050923975
Dh31-R,melsim,rho,0.741764254200158,7.01258050923975
Dh31-R,melsim,r,0.840682091291702,7.01258050923975
Dh31-R,simsec,rho,0.738010143004416,7.01258050923975
Dh31-R,simsec,r,0.891982821929382,7.01258050923975
Dh44,melsec,rho,0.759623863904864,9.4865466803106
Dh44,melsec,r,0.724001458004082,9.4865466803106
Dh44,melsim,rho,0.784655833473232,9.4865466803106
Dh44,melsim,r,0.816007714079268,9.4865466803106
Dh44,simsec,rho,0.830340065709209,9.4865466803106
Dh44,simsec,r,0.799532089653117,9.4865466803106
Dop1R2,melsec,rho,0.861658745530793,22.2677020004414
Dop1R2,melsec,r,0.937885058061269,22.2677020004414
Dop1R2,melsim,rho,0.900505301746166,22.2677020004414
Dop1R2,melsim,r,0.943938093822043,22.2677020004414
Dop1R2,simsec,rho,0.871752419765665,22.2677020004414
Dop1R2,simsec,r,0.951725239639979,22.2677020004414
Dpp10,melsec,rho,0.810625208174142,40.5606051485784
Dpp10,melsec,r,0.877506404946615,40.5606051485784
Dpp10,melsim,rho,0.743744979329532,40.5606051485784
Dpp10,melsim,r,0.801464857022829,40.5606051485784
Dpp10,simsec,rho,0.860312702051373,40.5606051485784
