gene,cluster,species,percent_expressed,n_high_expression_celltype,n_gene_per_cluster
lolal,GABA_10,Dsim,0.352,20,66
mRpS5,GABA_10,Dmel,0.32,2,66
mRpS5,GABA_10,Dsec,0.338,2,66
mRpS5,GABA_10,Dsim,0.333,2,66
mld,GABA_10,Dmel,0.66,6,66
mld,GABA_10,Dsec,0.554,6,66
mld,GABA_10,Dsim,0.556,6,66
osi,GABA_10,Dmel,0.32,2,66
osi,GABA_10,Dsec,0.462,2,66
osi,GABA_10,Dsim,0.352,2,66
stmA,GABA_10,Dmel,0.46,5,66
stmA,GABA_10,Dsec,0.385,5,66
stmA,GABA_10,Dsim,0.352,5,66
sxc,GABA_10,Dmel,0.58,7,66
sxc,GABA_10,Dsec,0.338,7,66
sxc,GABA_10,Dsim,0.389,7,66
tey,GABA_10,Dmel,0.84,1,66
tey,GABA_10,Dsec,0.554,1,66
tey,GABA_10,Dsim,0.667,1,66
tipE,GABA_10,Dmel,0.42,8,66
tipE,GABA_10,Dsec,0.4,8,66
tipE,GABA_10,Dsim,0.778,8,66
tnc,GABA_10,Dmel,0.48,5,66
tnc,GABA_10,Dsec,0.415,5,66
tnc,GABA_10,Dsim,0.315,5,66
tws,GABA_10,Dmel,0.32,12,66
tws,GABA_10,Dsec,0.446,12,66
tws,GABA_10,Dsim,0.333,12,66
unc-119,GABA_10,Dmel,0.7,4,66
unc-119,GABA_10,Dsec,0.354,4,66
unc-119,GABA_10,Dsim,0.444,4,66
wcy,GABA_10,Dmel,0.44,16,66
wcy,GABA_10,Dsec,0.308,16,66
wcy,GABA_10,Dsim,0.37,16,66
zld,GABA_10,Dmel,0.52,19,66
zld,GABA_10,Dsec,0.446,19,66
zld,GABA_10,Dsim,0.333,19,66
2mit,GABA_11,Dmel,0.305,5,40
2mit,GABA_11,Dsec,0.627,5,40
2mit,GABA_11,Dsim,0.345,5,40
ATPsynbeta,GABA_11,Dmel,0.356,17,40
ATPsynbeta,GABA_11,Dsec,0.322,17,40
ATPsynbeta,GABA_11,Dsim,0.589,17,40
CARPB,GABA_11,Dmel,0.424,10,40
CARPB,GABA_11,Dsec,0.368,10,40
CARPB,GABA_11,Dsim,0.364,10,40
CG3556,GABA_11,Dmel,0.339,7,40
CG3556,GABA_11,Dsec,0.333,7,40
CG3556,GABA_11,Dsim,0.357,7,40
CG3726,GABA_11,Dmel,0.475,14,40
CG3726,GABA_11,Dsec,0.508,14,40
CG3726,GABA_11,Dsim,0.382,14,40
CG41378,GABA_11,Dmel,0.746,18,40
CG41378,GABA_11,Dsec,0.322,18,40
CG41378,GABA_11,Dsim,0.357,18,40
CG42784,GABA_11,Dmel,0.305,19,40
CG42784,GABA_11,Dsec,0.627,19,40
CG42784,GABA_11,Dsim,0.75,19,40
CG43707,GABA_11,Dmel,0.407,14,40
CG43707,GABA_11,Dsec,0.491,14,40
CG43707,GABA_11,Dsim,0.327,14,40
CG43902,GABA_11,Dmel,0.441,21,40
CG43902,GABA_11,Dsec,0.424,21,40
CG43902,GABA_11,Dsim,0.309,21,40
CG4678,GABA_11,Dmel,0.458,10,40
CG4678,GABA_11,Dsec,0.475,10,40
CG4678,GABA_11,Dsim,0.464,10,40
CG6006,GABA_11,Dmel,0.339,15,40
CG6006,GABA_11,Dsec,0.492,15,40
CG6006,GABA_11,Dsim,0.691,15,40
Crk,GABA_11,Dmel,0.305,2,40
Crk,GABA_11,Dsec,0.322,2,40
Crk,GABA_11,Dsim,0.375,2,40
DIP-kappa,GABA_11,Dmel,0.661,20,40
DIP-kappa,GABA_11,Dsec,0.593,20,40
DIP-kappa,GABA_11,Dsim,0.673,20,40
DIP-lambda,GABA_11,Dmel,1,11,40
DIP-lambda,GABA_11,Dsec,1,11,40
DIP-lambda,GABA_11,Dsim,0.964,11,40
Efa6,GABA_11,Dmel,0.322,13,40
Efa6,GABA_11,Dsec,0.356,13,40
Efa6,GABA_11,Dsim,0.4,13,40
Ets65A,GABA_11,Dmel,0.508,13,40
Ets65A,GABA_11,Dsec,0.614,13,40
Ets65A,GABA_11,Dsim,0.6,13,40
Fili,GABA_11,Dmel,0.576,16,40
Fili,GABA_11,Dsec,0.509,16,40
Fili,GABA_11,Dsim,0.709,16,40
Idit,GABA_11,Dmel,0.39,21,40
Idit,GABA_11,Dsec,0.474,21,40
Idit,GABA_11,Dsim,0.327,21,40
Mbs,GABA_11,Dmel,0.356,21,40
Mbs,GABA_11,Dsec,0.439,21,40
Mbs,GABA_11,Dsim,0.321,21,40
Mur2B,GABA_11,Dmel,0.78,14,40
Mur2B,GABA_11,Dsec,0.789,14,40
Mur2B,GABA_11,Dsim,0.727,14,40
Prp39,GABA_11,Dmel,0.39,21,40
Prp39,GABA_11,Dsec,0.339,21,40
Prp39,GABA_11,Dsim,0.382,21,40
RhoGDI,GABA_11,Dmel,0.322,13,40
RhoGDI,GABA_11,Dsec,0.424,13,40
RhoGDI,GABA_11,Dsim,0.364,13,40
RpL36,GABA_11,Dmel,0.39,15,40
RpL36,GABA_11,Dsec,0.322,15,40
RpL36,GABA_11,Dsim,0.382,15,40
RpL37-1,GABA_11,Dmel,0.373,20,40
RpL37-1,GABA_11,Dsec,0.475,20,40
RpL37-1,GABA_11,Dsim,0.309,20,40
RpL39,GABA_11,Dmel,0.373,6,40
RpL39,GABA_11,Dsec,0.322,6,40
RpL39,GABA_11,Dsim,0.327,6,40
RpL6,GABA_11,Dmel,0.356,20,40
RpL6,GABA_11,Dsec,0.356,20,40
RpL6,GABA_11,Dsim,0.327,20,40
RpS18,GABA_11,Dmel,0.373,14,40
RpS18,GABA_11,Dsec,0.305,14,40
RpS18,GABA_11,Dsim,0.364,14,40
RpS7,GABA_11,Dmel,0.356,18,40
RpS7,GABA_11,Dsec,0.407,18,40
RpS7,GABA_11,Dsim,0.345,18,40
RpS8,GABA_11,Dmel,0.424,8,40
RpS8,GABA_11,Dsec,0.373,8,40
RpS8,GABA_11,Dsim,0.345,8,40
Rsf1,GABA_11,Dmel,0.424,19,40
Rsf1,GABA_11,Dsec,0.373,19,40
Rsf1,GABA_11,Dsim,0.418,19,40
Set1,GABA_11,Dmel,0.356,8,40
Set1,GABA_11,Dsec,0.525,8,40
Set1,GABA_11,Dsim,0.345,8,40
Tmep,GABA_11,Dmel,0.305,17,40
Tmep,GABA_11,Dsec,0.404,17,40
Tmep,GABA_11,Dsim,0.309,17,40
VGAT,GABA_11,Dmel,0.458,9,40
VGAT,GABA_11,Dsec,0.407,9,40
VGAT,GABA_11,Dsim,0.509,9,40
VhaAC45,GABA_11,Dmel,0.322,12,40
VhaAC45,GABA_11,Dsec,0.322,12,40
VhaAC45,GABA_11,Dsim,0.345,12,40
aop,GABA_11,Dmel,0.712,13,40
aop,GABA_11,Dsec,0.404,13,40
aop,GABA_11,Dsim,0.618,13,40
br,GABA_11,Dmel,0.949,17,40
br,GABA_11,Dsec,0.947,17,40
br,GABA_11,Dsim,0.911,17,40
mirr,GABA_11,Dmel,0.729,6,40
mirr,GABA_11,Dsec,0.561,6,40
mirr,GABA_11,Dsim,0.909,6,40
mld,GABA_11,Dmel,0.458,6,40
mld,GABA_11,Dsec,0.386,6,40
mld,GABA_11,Dsim,0.509,6,40
mtt,GABA_11,Dmel,0.763,19,40
mtt,GABA_11,Dsec,0.386,19,40
mtt,GABA_11,Dsim,0.5,19,40
rdo,GABA_11,Dmel,0.305,8,40
rdo,GABA_11,Dsec,0.407,8,40
rdo,GABA_11,Dsim,0.518,8,40
Bx,GABA_12,Dmel,0.586,21,36
Bx,GABA_12,Dsec,0.744,21,36
Bx,GABA_12,Dsim,0.596,21,36
CG12594,GABA_12,Dmel,0.379,2,36
CG12594,GABA_12,Dsec,0.341,2,36
CG12594,GABA_12,Dsim,0.362,2,36
CG13594,GABA_12,Dmel,0.345,4,36
CG13594,GABA_12,Dsec,0.317,4,36
CG13594,GABA_12,Dsim,0.38,4,36
CG13995,GABA_12,Dmel,0.31,6,36
CG13995,GABA_12,Dsec,0.385,6,36
CG13995,GABA_12,Dsim,0.34,6,36
CG1688,GABA_12,Dmel,0.448,10,36
CG1688,GABA_12,Dsec,0.59,10,36
CG1688,GABA_12,Dsim,0.5,10,36
CG31211,GABA_12,Dmel,0.328,15,36
CG31211,GABA_12,Dsec,0.333,15,36
CG31211,GABA_12,Dsim,0.32,15,36
CG42788,GABA_12,Dmel,0.431,14,36
CG42788,GABA_12,Dsec,0.385,14,36
CG42788,GABA_12,Dsim,0.319,14,36
CG43707,GABA_12,Dmel,0.362,14,36
CG43707,GABA_12,Dsec,0.436,14,36
CG43707,GABA_12,Dsim,0.34,14,36
CG44837,GABA_12,Dmel,0.31,14,36
CG44837,GABA_12,Dsec,0.439,14,36
CG44837,GABA_12,Dsim,0.32,14,36
CG6006,GABA_12,Dmel,0.638,15,36
CG6006,GABA_12,Dsec,0.463,15,36
CG6006,GABA_12,Dsim,0.66,15,36
CanB,GABA_12,Dmel,0.5,8,36
CanB,GABA_12,Dsec,0.366,8,36
CanB,GABA_12,Dsim,0.38,8,36
Csk,GABA_12,Dmel,0.345,12,36
Csk,GABA_12,Dsec,0.333,12,36
Csk,GABA_12,Dsim,0.383,12,36
DIP-gamma,GABA_12,Dmel,0.328,5,36
DIP-gamma,GABA_12,Dsec,0.463,5,36
DIP-gamma,GABA_12,Dsim,0.54,5,36
Drl-2,GABA_12,Dmel,0.362,15,36
Drl-2,GABA_12,Dsec,0.385,15,36
Drl-2,GABA_12,Dsim,0.319,15,36
E(bx),GABA_12,Dmel,0.397,3,36
E(bx),GABA_12,Dsec,0.359,3,36
E(bx),GABA_12,Dsim,0.362,3,36
Epac,GABA_12,Dmel,0.397,9,36
Epac,GABA_12,Dsec,0.667,9,36
Epac,GABA_12,Dsim,0.511,9,36
Ets65A,GABA_12,Dmel,0.793,13,36
Ets65A,GABA_12,Dsec,0.821,13,36
Ets65A,GABA_12,Dsim,0.809,13,36
Mbs,GABA_12,Dmel,0.328,21,36
Mbs,GABA_12,Dsec,0.436,21,36
Mbs,GABA_12,Dsim,0.32,21,36
Nplp1,GABA_12,Dmel,0.448,14,36
Nplp1,GABA_12,Dsec,0.463,14,36
Nplp1,GABA_12,Dsim,0.76,14,36
Prps,GABA_12,Dmel,0.345,21,36
Prps,GABA_12,Dsec,0.317,21,36
Prps,GABA_12,Dsim,0.319,21,36
RASSF8,GABA_12,Dmel,0.328,1,36
RASSF8,GABA_12,Dsec,0.317,1,36
RASSF8,GABA_12,Dsim,0.553,1,36
RhoGDI,GABA_12,Dmel,0.328,13,36
RhoGDI,GABA_12,Dsec,0.341,13,36
RhoGDI,GABA_12,Dsim,0.32,13,36
Tbh,GABA_12,Dmel,0.448,11,36
Tbh,GABA_12,Dsec,0.488,11,36
Tbh,GABA_12,Dsim,0.38,11,36
Yeti,GABA_12,Dmel,0.362,9,36
Yeti,GABA_12,Dsec,0.385,9,36
Yeti,GABA_12,Dsim,0.64,9,36
aop,GABA_12,Dmel,0.448,13,36
aop,GABA_12,Dsec,0.564,13,36
aop,GABA_12,Dsim,0.574,13,36
ara,GABA_12,Dmel,0.328,7,36
ara,GABA_12,Dsec,0.634,7,36
ara,GABA_12,Dsim,0.404,7,36
caup,GABA_12,Dmel,0.448,10,36
caup,GABA_12,Dsec,0.61,10,36
caup,GABA_12,Dsim,0.426,10,36
dpr15,GABA_12,Dmel,0.345,5,36
dpr15,GABA_12,Dsec,0.39,5,36
dpr15,GABA_12,Dsim,0.404,5,36
dpr17,GABA_12,Dmel,0.621,15,36
dpr17,GABA_12,Dsec,0.692,15,36
dpr17,GABA_12,Dsim,0.745,15,36
elB,GABA_12,Dmel,0.328,12,36
elB,GABA_12,Dsec,0.513,12,36
elB,GABA_12,Dsim,0.489,12,36
mtt,GABA_12,Dmel,0.534,19,36
mtt,GABA_12,Dsec,0.436,19,36
mtt,GABA_12,Dsim,0.574,19,36
nkd,GABA_12,Dmel,0.431,18,36
nkd,GABA_12,Dsec,0.385,18,36
nkd,GABA_12,Dsim,0.404,18,36
sina,GABA_12,Dmel,0.345,8,36
sina,GABA_12,Dsec,0.333,8,36
sina,GABA_12,Dsim,0.34,8,36
tacc,GABA_12,Dmel,0.31,6,36
tacc,GABA_12,Dsec,0.317,6,36
tacc,GABA_12,Dsim,0.426,6,36
tws,GABA_12,Dmel,0.328,12,36
tws,GABA_12,Dsec,0.415,12,36
tws,GABA_12,Dsim,0.34,12,36
zld,GABA_12,Dmel,0.534,19,36
zld,GABA_12,Dsec,0.359,19,36
zld,GABA_12,Dsim,0.36,19,36
ATPsynbeta,GABA_13,Dmel,0.34,17,35
ATPsynbeta,GABA_13,Dsec,0.375,17,35
ATPsynbeta,GABA_13,Dsim,0.697,17,35
CARPA,GABA_13,Dmel,0.44,7,35
CARPA,GABA_13,Dsec,0.375,7,35
CARPA,GABA_13,Dsim,0.342,7,35
CG1090,GABA_13,Dmel,0.3,8,35
CG1090,GABA_13,Dsec,0.375,8,35
CG1090,GABA_13,Dsim,0.421,8,35
CG14459,GABA_13,Dmel,0.36,17,35
CG14459,GABA_13,Dsec,0.55,17,35
CG14459,GABA_13,Dsim,0.342,17,35
CG1578,GABA_13,Dmel,0.34,20,35
CG1578,GABA_13,Dsec,0.325,20,35
CG1578,GABA_13,Dsim,0.424,20,35
CG1688,GABA_13,Dmel,0.38,10,35
CG1688,GABA_13,Dsec,0.35,10,35
CG1688,GABA_13,Dsim,0.395,10,35
CG1695,GABA_13,Dmel,0.44,9,35
CG1695,GABA_13,Dsec,0.425,9,35
CG1695,GABA_13,Dsim,0.342,9,35
CG34384,GABA_13,Dmel,0.44,21,35
CG34384,GABA_13,Dsec,0.333,21,35
CG34384,GABA_13,Dsim,0.394,21,35
CG4238,GABA_13,Dmel,0.32,17,35
CG4238,GABA_13,Dsec,0.396,17,35
CG4238,GABA_13,Dsim,0.485,17,35
CG43795,GABA_13,Dmel,0.68,9,35
CG43795,GABA_13,Dsec,0.375,9,35
CG43795,GABA_13,Dsim,0.342,9,35
CG4678,GABA_13,Dmel,0.32,10,35
CG4678,GABA_13,Dsec,0.417,10,35
CG4678,GABA_13,Dsim,0.421,10,35
COX4,GABA_13,Dmel,0.38,16,35
COX4,GABA_13,Dsec,0.354,16,35
COX4,GABA_13,Dsim,0.485,16,35
Cep164,GABA_13,Dmel,0.3,2,35
Cep164,GABA_13,Dsec,0.354,2,35
Cep164,GABA_13,Dsim,0.303,2,35
Crk,GABA_13,Dmel,0.38,2,35
Crk,GABA_13,Dsec,0.354,2,35
Crk,GABA_13,Dsim,0.395,2,35
DIP-kappa,GABA_13,Dmel,0.58,20,35
DIP-kappa,GABA_13,Dsec,0.646,20,35
DIP-kappa,GABA_13,Dsim,0.684,20,35
DIP-theta,GABA_13,Dmel,0.48,7,35
DIP-theta,GABA_13,Dsec,0.333,7,35
DIP-theta,GABA_13,Dsim,0.606,7,35
Dek,GABA_13,Dmel,0.36,6,35
Dek,GABA_13,Dsec,0.5,6,35
Dek,GABA_13,Dsim,0.303,6,35
Fer1,GABA_13,Dmel,0.68,5,35
Fer1,GABA_13,Dsec,0.625,5,35
Fer1,GABA_13,Dsim,0.606,5,35
FoxK,GABA_13,Dmel,0.3,4,35
FoxK,GABA_13,Dsec,0.396,4,35
FoxK,GABA_13,Dsim,0.333,4,35
Hr3,GABA_13,Dmel,0.32,5,35
Hr3,GABA_13,Dsec,0.375,5,35
Hr3,GABA_13,Dsim,0.447,5,35
JIL-1,GABA_13,Dmel,0.42,5,35
JIL-1,GABA_13,Dsec,0.3,5,35
JIL-1,GABA_13,Dsim,0.364,5,35
Nadsyn,GABA_13,Dmel,0.36,19,35
Nadsyn,GABA_13,Dsec,0.312,19,35
Nadsyn,GABA_13,Dsim,0.316,19,35
Optix,GABA_13,Dmel,0.5,10,35
Optix,GABA_13,Dsec,0.375,10,35
Optix,GABA_13,Dsim,0.606,10,35
Paip2,GABA_13,Dmel,0.3,7,35
Paip2,GABA_13,Dsec,0.375,7,35
Paip2,GABA_13,Dsim,0.455,7,35
Rab35,GABA_13,Dmel,0.34,18,35
Rab35,GABA_13,Dsec,0.325,18,35
Rab35,GABA_13,Dsim,0.316,18,35
VGAT,GABA_13,Dmel,0.3,9,35
VGAT,GABA_13,Dsec,0.458,9,35
VGAT,GABA_13,Dsim,0.424,9,35
beat-Ia,GABA_13,Dmel,0.54,13,35
beat-Ia,GABA_13,Dsec,0.417,13,35
beat-Ia,GABA_13,Dsim,0.474,13,35
beta-Spec,GABA_13,Dmel,0.34,5,35
beta-Spec,GABA_13,Dsec,0.325,5,35
beta-Spec,GABA_13,Dsim,0.424,5,35
da,GABA_13,Dmel,0.36,12,35
da,GABA_13,Dsec,0.333,12,35
da,GABA_13,Dsim,0.455,12,35
dpr19,GABA_13,Dmel,0.38,5,35
dpr19,GABA_13,Dsec,0.35,5,35
dpr19,GABA_13,Dsim,0.303,5,35
oc,GABA_13,Dmel,0.46,4,35
oc,GABA_13,Dsec,0.375,4,35
oc,GABA_13,Dsim,0.545,4,35
rn,GABA_13,Dmel,0.48,17,35
rn,GABA_13,Dsec,0.375,17,35
rn,GABA_13,Dsim,0.485,17,35
salm,GABA_13,Dmel,0.54,12,35
salm,GABA_13,Dsec,0.575,12,35
salm,GABA_13,Dsim,0.455,12,35
salr,GABA_13,Dmel,0.48,15,35
salr,GABA_13,Dsec,0.45,15,35
salr,GABA_13,Dsim,0.667,15,35
unc-119,GABA_13,Dmel,0.48,4,35
unc-119,GABA_13,Dsec,0.375,4,35
unc-119,GABA_13,Dsim,0.342,4,35
ATPsynF,GABA_14,Dmel,0.308,8,40
ATPsynF,GABA_14,Dsec,0.357,8,40
ATPsynF,GABA_14,Dsim,0.448,8,40
Bx,GABA_14,Dmel,0.723,21,40
Bx,GABA_14,Dsec,0.92,21,40
Bx,GABA_14,Dsim,0.69,21,40
CG12054,GABA_14,Dmel,0.323,14,40
CG12054,GABA_14,Dsec,0.32,14,40
CG12054,GABA_14,Dsim,0.31,14,40
CG2225,GABA_14,Dmel,0.415,11,40
CG2225,GABA_14,Dsec,0.429,11,40
CG2225,GABA_14,Dsim,0.31,11,40
CG3198,GABA_14,Dmel,0.323,15,40
CG3198,GABA_14,Dsec,0.36,15,40
CG3198,GABA_14,Dsim,0.345,15,40
CG32647,GABA_14,Dmel,0.492,19,40
CG32647,GABA_14,Dsec,0.36,19,40
CG32647,GABA_14,Dsim,0.414,19,40
CG34155,GABA_14,Dmel,0.462,7,40
CG34155,GABA_14,Dsec,0.44,7,40
CG34155,GABA_14,Dsim,0.483,7,40
CG43066,GABA_14,Dmel,0.523,21,40
CG43066,GABA_14,Dsec,0.393,21,40
CG43066,GABA_14,Dsim,0.379,21,40
CG6044,GABA_14,Dmel,0.508,19,40
CG6044,GABA_14,Dsec,0.393,19,40
CG6044,GABA_14,Dsim,0.621,19,40
CG9813,GABA_14,Dmel,0.338,14,40
CG9813,GABA_14,Dsec,0.32,14,40
CG9813,GABA_14,Dsim,0.448,14,40
Cep164,GABA_14,Dmel,0.338,2,40
Cep164,GABA_14,Dsec,0.36,2,40
Cep164,GABA_14,Dsim,0.31,2,40
DIP-alpha,GABA_14,Dmel,0.446,3,40
DIP-alpha,GABA_14,Dsec,0.44,3,40
DIP-alpha,GABA_14,Dsim,0.31,3,40
DIP-kappa,GABA_14,Dmel,0.462,20,40
DIP-kappa,GABA_14,Dsec,0.48,20,40
DIP-kappa,GABA_14,Dsim,0.31,20,40
Drat,GABA_14,Dmel,0.308,11,40
Drat,GABA_14,Dsec,0.429,11,40
Drat,GABA_14,Dsim,0.414,11,40
Drl-2,GABA_14,Dmel,0.538,15,40
Drl-2,GABA_14,Dsec,0.48,15,40
Drl-2,GABA_14,Dsim,0.414,15,40
Ets65A,GABA_14,Dmel,0.662,13,40
Ets65A,GABA_14,Dsec,0.52,13,40
Ets65A,GABA_14,Dsim,0.31,13,40
Fili,GABA_14,Dmel,0.385,16,40
Fili,GABA_14,Dsec,0.6,16,40
Fili,GABA_14,Dsim,0.552,16,40
IscU,GABA_14,Dmel,0.431,17,40
IscU,GABA_14,Dsec,0.321,17,40
IscU,GABA_14,Dsim,0.414,17,40
LRP1,GABA_14,Dmel,0.523,7,40
LRP1,GABA_14,Dsec,0.393,7,40
LRP1,GABA_14,Dsim,0.414,7,40
Mpcp2,GABA_14,Dmel,0.338,16,40
Mpcp2,GABA_14,Dsec,0.4,16,40
Mpcp2,GABA_14,Dsim,0.448,16,40
Nca,GABA_14,Dmel,0.354,6,40
Nca,GABA_14,Dsec,0.536,6,40
Nca,GABA_14,Dsim,0.345,6,40
Neto,GABA_14,Dmel,0.369,13,40
Neto,GABA_14,Dsec,0.5,13,40
Neto,GABA_14,Dsim,0.345,13,40
Nmdar2,GABA_14,Dmel,0.431,15,40
Nmdar2,GABA_14,Dsec,0.321,15,40
Nmdar2,GABA_14,Dsim,0.379,15,40
Prp39,GABA_14,Dmel,0.415,21,40
Prp39,GABA_14,Dsec,0.393,21,40
Prp39,GABA_14,Dsim,0.345,21,40
Prps,GABA_14,Dmel,0.431,21,40
Prps,GABA_14,Dsec,0.44,21,40
Prps,GABA_14,Dsim,0.414,21,40
RhoGEF3,GABA_14,Dmel,0.323,12,40
RhoGEF3,GABA_14,Dsec,0.321,12,40
RhoGEF3,GABA_14,Dsim,0.31,12,40
RpL17,GABA_14,Dmel,0.323,7,40
RpL17,GABA_14,Dsec,0.32,7,40
RpL17,GABA_14,Dsim,0.379,7,40
RpL36,GABA_14,Dmel,0.323,15,40
RpL36,GABA_14,Dsec,0.357,15,40
RpL36,GABA_14,Dsim,0.414,15,40
RpS15Aa,GABA_14,Dmel,0.323,2,40
RpS15Aa,GABA_14,Dsec,0.357,2,40
RpS15Aa,GABA_14,Dsim,0.345,2,40
Set1,GABA_14,Dmel,0.354,8,40
Set1,GABA_14,Dsec,0.44,8,40
Set1,GABA_14,Dsim,0.31,8,40
Yeti,GABA_14,Dmel,0.369,9,40
Yeti,GABA_14,Dsec,0.321,9,40
Yeti,GABA_14,Dsim,0.379,9,40
alpha-Spec,GABA_14,Dmel,0.354,7,40
alpha-Spec,GABA_14,Dsec,0.393,7,40
alpha-Spec,GABA_14,Dsim,0.414,7,40
aop,GABA_14,Dmel,0.508,13,40
aop,GABA_14,Dsec,0.44,13,40
aop,GABA_14,Dsim,0.448,13,40
caup,GABA_14,Dmel,0.338,10,40
caup,GABA_14,Dsec,0.429,10,40
caup,GABA_14,Dsim,0.345,10,40
ckn,GABA_14,Dmel,0.308,19,40
ckn,GABA_14,Dsec,0.4,19,40
ckn,GABA_14,Dsim,0.31,19,40
cnn,GABA_14,Dmel,0.354,9,40
cnn,GABA_14,Dsec,0.44,9,40
cnn,GABA_14,Dsim,0.552,9,40
dsd,GABA_14,Dmel,0.338,19,40
dsd,GABA_14,Dsec,0.429,19,40
dsd,GABA_14,Dsim,0.448,19,40
oaf,GABA_14,Dmel,0.446,3,40
oaf,GABA_14,Dsec,0.393,3,40
oaf,GABA_14,Dsim,0.31,3,40
rk,GABA_14,Dmel,0.492,2,40
rk,GABA_14,Dsec,0.6,2,40
rk,GABA_14,Dsim,0.379,2,40
tipE,GABA_14,Dmel,0.369,8,40
tipE,GABA_14,Dsec,0.357,8,40
tipE,GABA_14,Dsim,0.517,8,40
ATPsynF,GABA_2,Dmel,0.558,8,72
ATPsynF,GABA_2,Dsec,0.356,8,72
ATPsynF,GABA_2,Dsim,0.472,8,72
ATPsynbeta,GABA_2,Dmel,0.617,17,72
ATPsynbeta,GABA_2,Dsec,0.363,17,72
ATPsynbeta,GABA_2,Dsim,0.587,17,72
Atg8a,GABA_2,Dmel,0.301,18,72
Atg8a,GABA_2,Dsec,0.398,18,72
Atg8a,GABA_2,Dsim,0.359,18,72
Atx2,GABA_2,Dmel,0.338,7,72
Atx2,GABA_2,Dsec,0.399,7,72
Atx2,GABA_2,Dsim,0.429,7,72
BicD,GABA_2,Dmel,0.431,10,72
BicD,GABA_2,Dsec,0.326,10,72
BicD,GABA_2,Dsim,0.377,10,72
Bx,GABA_2,Dmel,0.762,21,72
Bx,GABA_2,Dsec,0.758,21,72
Bx,GABA_2,Dsim,0.663,21,72
CG1090,GABA_2,Dmel,0.309,8,72
CG1090,GABA_2,Dsec,0.502,8,72
CG1090,GABA_2,Dsim,0.56,8,72
CG11537,GABA_2,Dmel,0.413,13,72
CG11537,GABA_2,Dsec,0.318,13,72
CG11537,GABA_2,Dsim,0.302,13,72
CG12054,GABA_2,Dmel,0.446,14,72
CG12054,GABA_2,Dsec,0.399,14,72
CG12054,GABA_2,Dsim,0.417,14,72
CG14459,GABA_2,Dmel,0.755,17,72
CG14459,GABA_2,Dsec,0.882,17,72
CG14459,GABA_2,Dsim,0.861,17,72
CG14669,GABA_2,Dmel,0.45,13,72
CG14669,GABA_2,Dsec,0.315,13,72
CG14669,GABA_2,Dsim,0.405,13,72
CG16711,GABA_2,Dmel,0.368,11,72
CG16711,GABA_2,Dsec,0.33,11,72
CG16711,GABA_2,Dsim,0.306,11,72
CG2747,GABA_2,Dmel,0.32,3,72
CG2747,GABA_2,Dsec,0.433,3,72
CG2747,GABA_2,Dsim,0.305,3,72
CG3198,GABA_2,Dmel,0.331,15,72
CG3198,GABA_2,Dsec,0.322,15,72
CG3198,GABA_2,Dsim,0.328,15,72
CG32647,GABA_2,Dmel,0.487,19,72
CG32647,GABA_2,Dsec,0.304,19,72
CG32647,GABA_2,Dsim,0.486,19,72
CG34384,GABA_2,Dmel,0.338,21,72
CG34384,GABA_2,Dsec,0.433,21,72
CG34384,GABA_2,Dsim,0.302,21,72
CG3556,GABA_2,Dmel,0.42,7,72
CG3556,GABA_2,Dsec,0.392,7,72
CG3556,GABA_2,Dsim,0.402,7,72
CG3961,GABA_2,Dmel,0.416,5,72
CG3961,GABA_2,Dsec,0.301,5,72
CG3961,GABA_2,Dsim,0.452,5,72
CG4238,GABA_2,Dmel,0.439,17,72
CG4238,GABA_2,Dsec,0.374,17,72
CG4238,GABA_2,Dsim,0.432,17,72
CG43066,GABA_2,Dmel,0.576,21,72
CG43066,GABA_2,Dsec,0.408,21,72
CG43066,GABA_2,Dsim,0.417,21,72
CG4678,GABA_2,Dmel,0.45,10,72
CG4678,GABA_2,Dsec,0.439,10,72
CG4678,GABA_2,Dsim,0.39,10,72
CG6044,GABA_2,Dmel,0.409,19,72
CG6044,GABA_2,Dsec,0.343,19,72
CG6044,GABA_2,Dsim,0.397,19,72
CG9328,GABA_2,Dmel,0.309,12,72
CG9328,GABA_2,Dsec,0.451,12,72
CG9328,GABA_2,Dsim,0.663,12,72
COX4,GABA_2,Dmel,0.539,16,72
COX4,GABA_2,Dsec,0.439,16,72
COX4,GABA_2,Dsim,0.425,16,72
Camta,GABA_2,Dmel,0.383,2,72
Camta,GABA_2,Dsec,0.509,2,72
Camta,GABA_2,Dsim,0.425,2,72
Cipc,GABA_2,Dmel,0.39,17,72
Cipc,GABA_2,Dsec,0.429,17,72
Cipc,GABA_2,Dsim,0.512,17,72
Cs1,GABA_2,Dmel,0.375,8,72
Cs1,GABA_2,Dsec,0.396,8,72
Cs1,GABA_2,Dsim,0.448,8,72
DIP-gamma,GABA_2,Dmel,0.383,5,72
DIP-gamma,GABA_2,Dsec,0.453,5,72
DIP-gamma,GABA_2,Dsim,0.378,5,72
Drat,GABA_2,Dmel,0.323,11,72
Drat,GABA_2,Dsec,0.301,11,72
Drat,GABA_2,Dsim,0.394,11,72
Efa6,GABA_2,Dmel,0.335,13,72
Efa6,GABA_2,Dsec,0.478,13,72
Efa6,GABA_2,Dsim,0.44,13,72
FoxK,GABA_2,Dmel,0.312,4,72
FoxK,GABA_2,Dsec,0.308,4,72
FoxK,GABA_2,Dsim,0.341,4,72
