"gene","cluster","p_val_adj","avg_log2FC","pct_exp_Dsim","pct_exp_Dsec"
"CG32206","Ach_12",2.72276349494026e-06,-0.719368321483709,0.107,0.563
"CG32647","Ach_12",3.22267332218289e-06,0.785951308854918,0.893,0.632
"CG33098","γ-KC",0,-1.19088754960785,0.014,0.664
"CG33098","αβ-KC_1",1.1760807382622e-192,-0.626882776557003,0.006,0.347
"CG33098","αβ-KC_2",9.05094974516291e-17,-0.776805858697997,0,0.44
"CG33521","Poxn_3",1.53215673819754e-09,-0.715236720069173,0.011,0.485
"CG34045","PRN",9.85826037487088e-13,-0.731636610362677,0.018,0.31
"CG40470","CTX",1.55302460832546e-26,-1.17185975188213,0.818,0.981
"CG42788","AST",4.22934423835462e-30,-0.706669555270691,0.679,0.862
"CG42795","TY_1",0.000168750771097991,-1.2093802085061,0.706,1
"CG43850","αβ-KC_2",2.78687428136272e-19,-1.0088215045395,0.109,0.7
"CG43850","Mip",1.06492665887184e-12,-1.07786489884542,0.227,0.64
"CG43850","Ach_11",1.17098845670374e-12,-1.09344169373976,0.194,0.733
"CG43850","GABA_6",1.07113437889955e-05,-1.63251173366313,0.315,0.675
"CG43850","Ach_9",0.00144192685378434,-0.64248439510037,0.179,0.5
"CG43850","Glu_14",0.00232720324877986,-1.19956650378608,0.15,0.63
"CG45263","NPF_AstA",0.00530805627158186,-0.823614336056713,0.241,0.645
"CG4991","PRN",1.02283556507708e-08,0.841795567386634,0.496,0.2
"CG5149","fru_14",9.93325786208975e-06,-1.53841991478413,0,0.857
"CG5888","AST",1.3808697950754e-24,-0.686420859330471,0.288,0.522
"CG5888","PRN",3.89983806502518e-10,-0.946959037191869,0.112,0.43
"CG7990","Ach_2",8.2484184933319e-181,-0.679718541939816,0.383,0.731
"CG7990","Glu_1",1.84271693160238e-98,-0.67270211317232,0.289,0.648
"CG7990","fru_2",3.23431909828015e-27,-0.776002503355152,0.295,0.696
"CG7990","Glu_5",1.24429487928268e-12,-0.605843438023352,0.158,0.496
"CG7990","DOP/SER",2.43506291658492e-12,-0.745154991979553,0.22,0.647
"CG7990","OPN",9.71958313070509e-12,-0.718983161782441,0.464,0.759
"CG7990","fru_6",2.40951810954194e-08,-0.761002276880625,0.221,0.663
"CG7990","DOP_1",4.38360283735849e-08,-0.591744573993425,0.163,0.466
"CG7990","Ach_12",3.84641225230279e-05,-0.721421980251684,0.464,0.793
"CG7990","fru_5",4.81983295917413e-05,-0.607097284440649,0.42,0.71
"CG7990","RYa",0.000116244023360099,-0.658849925175119,0.136,0.603
"CG7990","Clock_2",0.000136509914126126,-0.658394420336171,0.236,0.686
"CG7990","fru_10",0.000197489435777937,-0.960126617267921,0.139,0.745
"CG7990","Glu_10",0.000436346100124537,-0.628572873609456,0.368,0.723
"CG7990","Ach_8",0.000555378238306057,-0.598137889468889,0.245,0.596
"CG7990","Glu_11",0.0122454966705628,-0.720500992748473,0.353,0.694
"CG7990","TY_2",0.017011982926923,-0.924953677319057,0.243,0.765
"CG7990","SER",0.0203194118399963,-1.05841668622532,0.185,0.864
"CG7990","AstC_FMRFa",0.020809815215178,-0.773407590134267,0.229,0.7
"CG7990","GABA_5",0.0321669979763827,-0.601806010884571,0.254,0.622
"CG8180","ENS",7.09222073462569e-62,0.665483749613934,0.262,0.034
"CG8180","CTX",7.17630368243285e-11,0.666058783998656,0.356,0.047
"CG8641","α'β'-KC",2.34679790834115e-35,0.605397871477702,0.671,0.361
"CG9394","AST",7.31910714028381e-33,0.629415858203738,0.801,0.653
"Ca-Ma2d","Poxn_3",3.25039420555643e-17,1.15367967125243,0.98,0.765
"Cals","Ach_12",0.0107973191057209,-0.594391551122151,0.548,0.816
"Cam","GABA_6",0.0389369493042849,0.652871350987495,1,0.861
"Caper","OPN",2.86164466665274e-09,-0.613016760743591,0.94,0.967
"Cat","CTX",1.93144495581347e-17,-0.991941945645794,0.041,0.42
"Ccn","Tk_2",7.95268527822281e-06,-1.01596349172929,0.431,0.717
"Cipc","ENS",3.03742026573848e-34,0.684322437920908,0.261,0.075
"Ddr","ENS",2.34062951443505e-141,-1.43312651831982,0.051,0.544
"Ddr","AST",6.45266408139622e-30,-0.673062318605058,0.021,0.239
"Ddr","CTX",5.47810722429465e-16,-0.80045851779159,0.068,0.491
"Dop1R2","Ach_8",2.82265600267248e-09,-0.868403864533759,0.5,0.881
"Dscam1","ENS",5.66442077403306e-47,0.603022445118861,0.813,0.65
"Dscam1","AST",7.16990245675086e-28,0.633233409789853,0.66,0.431
"Dys","CTX",2.91554472907194e-34,-1.46410543229057,0.292,0.858
"Dys","Ach_16",0.00103897954570234,-0.788050077992842,0.972,1
"Eip63F-1","GABA_6",7.59215468344906e-05,1.04771134871697,0.411,0.036
"Exn","Poxn_3",1.51790972296934e-07,-0.635509527598439,0.022,0.443
"FER","CTX",0.00012144296823014,-0.627664215564772,0.402,0.615
"Fs","AST",3.92486194088717e-193,-1.7918431674346,0,0.535
"Fs","NPF_AstA",6.30033768311585e-10,-0.8912937405575,0,0.548
"Fs","Mip",9.33501615678882e-09,-0.605499431723851,0,0.242
"Fs","TY_3",0.00112432080343962,-1.17449773123214,0,0.571
"Ggamma30A","Ach_7",0.000437624799520008,0.79676368061111,0.734,0.618
"Glos","CTX",3.10774198209658e-09,-0.944274884212769,0.214,0.541
"Gprk2","Poxn_3",1.67279125442415e-16,0.782284065873025,1,0.971
"Hmr","ENS",9.06964960965184e-123,-0.756845316612741,0.007,0.329
"Hmr","PRN",3.69832648902401e-65,-1.5878145183209,0.003,0.573
"Hmr","CTX",1.87833291757626e-40,-1.31447470979983,0.009,0.604
"Hrb27C","GABA_10",0.00527189880743109,0.635867716845008,0.87,0.554
"ImpE1","ENS",2.69347686792576e-70,-1.13927503124514,0.162,0.475
"Invadolysin","ENS",3.95652937049103e-38,0.649603629032576,0.532,0.306
"Invadolysin","AST",5.60438832203937e-18,0.669918938043808,0.488,0.271
"KCNQ","AST",4.29638560331027e-30,-0.747788251113562,0.018,0.234
"Mmp2","PRN",7.17102301658358e-05,0.91913760125656,0.686,0.504
"MtnA","CTX",6.34988467289253e-15,0.76605558344997,0.469,0.038
"Ndae1","Tk_2",0.0118091474266254,0.603795108131594,0.914,0.687
"Nep1","TY_1",3.16964454099957e-11,-2.22606407039556,0.255,0.976
"Nep1","Ach_10",0.00230236878836886,-1.053416873723,0.338,0.656
"Pkc53E","fru_5",1.08572372431543e-05,0.651633028475579,0.886,0.555
"Rab11","Poxn_3",1.92624990130496e-06,0.627341102991708,0.618,0.186
"RhoGAP19D","CTX",3.00053825132457e-09,-0.754130658774657,0.672,0.874
"SK","fru_5",3.36469069240759e-11,-1.04013624946628,0.652,0.903
"SK","Ach_8",2.96787823141487e-05,-0.675385419485855,0.855,1
"SK","GABA_6",0.0159771948684165,-0.593135541658612,0.971,0.972
"SLO2","Poxn_3",4.83066385364186e-10,-0.78235091592771,0.055,0.567
"Sarm","CTX",0.000171676228942059,-0.64469686921455,0.411,0.663
"Sesn","ENS",3.05167577165244e-252,-1.60512172134248,0.059,0.657
"Sesn","CTX",4.05764659831887e-60,-1.81671176200355,0.068,0.846
"Sesn","AST",8.00030817914924e-49,-0.676926241887689,0.019,0.236
"Sesn","PRN",8.02297992622547e-27,-1.19427634076099,0.083,0.474
"Set1","Glu_6",1.55076109060555e-14,-0.607592244167703,0.183,0.506
"Set1","fru_6",1.67300990355703e-05,-0.715228191915049,0.27,0.626
"Set1","Glu_9",0.00176986979024204,-0.611243929876186,0.225,0.627
"SoxN","CTX",3.15022146986321e-11,0.878375591807287,0.849,0.623
"SoxN","Ach_5",1.69186455244967e-06,0.66929554181889,0.468,0.315
"VGlut","fru_6",0.00299010477967134,-0.633138572037265,0.779,0.939
"VGlut","RYa",0.00870613881399518,-0.716467283849648,0.848,0.956
"VGlut","Glu_9",0.0167437465682994,-0.692678638235866,0.831,0.9
"aqz","Clock_2",0.00020455945238658,0.660747595710932,0.975,0.857
"aqz","TY_2",0.00443828994166157,1.0252857381185,1,0.882
"bbc","fru_5",1.77714819995017e-09,-1.10722961931296,0.268,0.685
"cdi","PRN",0.00858579703416138,-0.749387521986668,0.397,0.595
"crb","αβ-KC_1",5.68278965188272e-124,-0.736972804619029,0.718,0.889
"crb","αβ-KC_2",0.000155044959800564,-0.593304441391849,0.78,0.933
"dob","CTX",3.23012699919422e-18,-0.735480066277044,0.026,0.459
"dpr1","TY_3",0.000761749815607102,1.10940298824197,1,0.97
"dpr1","Ach_9",0.00317069030884249,0.620040465872437,0.89,0.774
"dpr9","NPF_AstA",1.3238946047969e-07,0.870211640370476,1,0.871
"hppy","Ach_2",2.61098522813769e-227,-0.793014332575879,0.593,0.856
"hppy","Glu_1",1.33692026689513e-122,-0.746421866315118,0.534,0.818
"hppy","αβ-KC_1",9.88804854818835e-114,-0.741365862100274,0.18,0.525
"hppy","Glu_2",4.29945795154902e-80,-0.689538158800386,0.356,0.67
"hppy","Ach_3",6.25518936578128e-60,-0.606664131672067,0.436,0.695
"hppy","Ach_4",7.41148198837927e-50,-0.656512990932044,0.501,0.741
"hppy","Glu_3",3.46074285581483e-46,-0.616663599245813,0.432,0.722
"hppy","ENS",7.714496244589e-39,-0.643147464224575,0.385,0.628
"hppy","α'β'-KC",1.51368786259313e-37,-0.734171372264972,0.507,0.764
"hppy","fru_2",8.70600185233216e-26,-0.747256397340828,0.554,0.836
"hppy","OPN",2.45270351924431e-22,-0.772649495692081,0.565,0.893
"hppy","GABA_1",1.10487435579707e-20,-0.616998853551995,0.397,0.668
"hppy","fru_1",2.22061255126307e-17,-0.597552904489986,0.416,0.658
"hppy","CCHa2",4.62979570483508e-16,-0.737282148208264,0.472,0.782
"hppy","GABA_4",1.10410185483939e-12,-0.651867187270064,0.672,0.81
"hppy","fru_3",5.19478144218161e-08,-0.638437938320174,0.544,0.745
"hppy","Glu_6",1.07251758270485e-07,-0.656453809859033,0.438,0.669
"hppy","DOP/SER",1.28592935947167e-06,-0.651202348538944,0.494,0.72
"hppy","Ach_7",1.85671199584841e-06,-0.753058944742464,0.273,0.61
"hppy","Ach_11",7.81321011286048e-06,-0.855528400658832,0.796,0.965
"hppy","Glu_10",1.58319120834824e-05,-0.711978692490719,0.516,0.855
"hppy","Clock_2",0.000230884133699219,-0.6930243691894,0.364,0.766
"hppy","sNPF_CCHa2_AstC",0.00061484921881743,-0.84239173605684,0.635,0.843
"hppy","NPF_AstA",0.00106339299468615,-0.835515408723668,0.655,0.935
"hppy","DOP_1",0.00107379181524954,-0.590760440412131,0.267,0.508
"hppy","Tk_Mip_RYa",0.00138845419849787,-0.988694967100671,0.551,0.865
"hppy","GABA_10",0.00202846943104126,-0.708540826200574,0.519,0.923
"hppy","Ach_14",0.00211499743625942,-0.910848609177202,0.384,0.769
"hppy","fru_14",0.0032947642204671,-1.31663379521785,0.65,0.952
"hppy","Poxn_4",0.0036876808061168,-0.904440306220232,0.31,0.745
"hppy","Tk_1",0.00416911330760299,-0.706739693818997,0.329,0.638
"hppy","Ach_13",0.0155458791779781,-0.699344859592007,0.551,0.795
"hppy","Ach_15",0.01862473185954,-0.958634348944706,0.5,0.829
"hppy","fru_12",0.0192779000440527,-1.0703893278914,0.4,0.857
"hppy","Glu_13",0.0329417979974286,-0.708901296889288,0.316,0.66
"hth","Glu_3",1.90361329600654e-06,-0.698352473046297,0.648,0.723
"if","Ach_8",4.31458982470785e-13,-0.839145988972684,0,0.495
"jeb","Ach_12",0.000729908313952037,-0.804984017594857,0.202,0.586
"mbl","Ach_12",0.000665843082769025,0.743964734835916,0.905,0.575
"mbl","NPF_AstA",0.00145268600801748,-0.846382373695775,0.586,0.935
"nolo","ENS",1.04476087594639e-73,-1.10311490022552,0.621,0.815
"pk","PRN",2.12235757058194e-19,-1.28952838534522,0.049,0.455
"px","ENS",3.18193397121684e-32,-0.600834324049887,0.256,0.472
"px","AST",1.31617579509225e-21,-0.617422073372423,0.227,0.434
"rdgB","Poxn_3",0.00012635976521425,-0.655115727631602,0.22,0.598
"rols","AST",1.40557917805786e-36,-0.880200301488244,0.174,0.506
"side-IV","NPF_AstA",0.0344864600775113,0.616472126592644,0.638,0.21
"simj","GABA_7",0.00858017326885928,-0.678436421484869,0.382,0.755
"simj","GABA_5",0.0325715845271124,-0.680481949960929,0.397,0.695
"sog","PRN",0.000195393164482729,-0.610172368737564,0.906,0.909
"unc-13","ENS",9.04450672124084e-61,-0.728675595790954,0.824,0.933
"unc-13","fru_5",1.32255617269641e-10,-0.599518319840403,1,1
"unc-13","OCTY",0.000333217859075167,-0.701249538561395,1,1
"wrapper","CTX",4.32250873371669e-07,0.63801554405683,0.603,0.296
