FBgn0027795	CG14785	Gene Expression
FBgn0024986	CG3719	Gene Expression
FBgn0000826	png	Gene Expression
FBgn0024365	CG12773	Gene Expression
FBgn0024360	MTPAP	Gene Expression
FBgn0024366	CG11409	Gene Expression
FBgn0025641	DAAM	Gene Expression
FBgn0052811	CG32811	Gene Expression
FBgn0028550	Atf3	Gene Expression
FBgn0026876	CG11403	Gene Expression
FBgn0040366	CG11398	Gene Expression
FBgn0040363	CG11384	Gene Expression
FBgn0040368	eIF4E7	Gene Expression
FBgn0026872	CG14777	Gene Expression
FBgn0029580	CG14778	Gene Expression
FBgn0025383	CG14780	Gene Expression
FBgn0025381	rush	Gene Expression
FBgn0025394	inc	Gene Expression
FBgn0000482	dor	Gene Expression
FBgn0001189	hfw	Gene Expression
FBgn0029587	CG14797	Gene Expression
FBgn0024897	b6	Gene Expression
FBgn0025391	Scgdelta	Gene Expression
FBgn0025378	CG3795	Gene Expression
FBgn0023130	a6	Gene Expression
FBgn0023530	CG3740	Gene Expression
FBgn0025390	Mur2B	Gene Expression
FBgn0025393	CG14795	Gene Expression
FBgn0003517	sta	Gene Expression
FBgn0044508	snoRNA:M	Gene Expression
FBgn0025382	Rab27	Gene Expression
FBgn0052808	CG32808	Gene Expression
FBgn0027791	O-fut2	Gene Expression
FBgn0027793	CG14787	Gene Expression
FBgn0052806	CG32806	Gene Expression
FBgn0026873	MED18	Gene Expression
FBgn0023513	CG14803	Gene Expression
FBgn0014411	Vps26	Gene Expression
FBgn0023514	CG14805	Gene Expression
FBgn0029594	Coa8	Gene Expression
FBgn0023519	mRpL16	Gene Expression
FBgn0023509	mip130	Gene Expression
FBgn0023510	Rbcn-3B	Gene Expression
FBgn0023508	Ocrl	Gene Expression
FBgn0023522	CG11596	Gene Expression
FBgn0023521	CG3587	Gene Expression
FBgn0025627	CG4194	Gene Expression
FBgn0025630	Rtca	Gene Expression
FBgn0025629	CG4045	Gene Expression
FBgn0029596	CG14054	Gene Expression
FBgn0025626	CG4281	Gene Expression
FBgn0025625	Sik2	Gene Expression
FBgn0025631	moody	Gene Expression
FBgn0026878	CG4325	Gene Expression
FBgn0000667	Actn	Gene Expression
FBgn0003964	usp	Gene Expression
FBgn0023545	PIG-K	Gene Expression
FBgn0023520	CG3857	Gene Expression
FBgn0023512	eIF2Bepsilon	Gene Expression
FBgn0023511	Edem1	Gene Expression
FBgn0052801	CG32801	Gene Expression
FBgn0023518	trr	Gene Expression
FBgn0026088	CG14818	Gene Expression
FBgn0026089	CG14817	Gene Expression
FBgn0023517	Pgam5	Gene Expression
FBgn0023516	Pex5	Gene Expression
FBgn0023515	Gcna	Gene Expression
FBgn0028969	deltaCOP	Gene Expression
FBgn0026090	Lamtor5	Gene Expression
FBgn0029590	CG14811	Gene Expression
FBgn0025624	CG4025	Gene Expression
FBgn0040395	Unc-76	Gene Expression
FBgn0000382	csw	Gene Expression
FBgn0023507	D2hgdh	Gene Expression
FBgn0004654	Pgd	Gene Expression
FBgn0023540	CG3630	Gene Expression
FBgn0025839	ND-B14.5A	Gene Expression
FBgn0011576	Cyp4d2	Gene Expression
FBgn0015036	Cyp4ae1	Gene Expression
FBgn0003116	pn	Gene Expression
FBgn0040899	CG17776	Gene Expression
FBgn0040900	CG17777	Gene Expression
FBgn0024984	CG3457	Gene Expression
FBgn0023549	Mct1	Gene Expression
FBgn0029606	CG14052	Gene Expression
FBgn0003048	pcx	Gene Expression
FBgn0000810	fs(1)K10	Gene Expression
FBgn0023523	Or2a	Gene Expression
FBgn0023527	CG3071	Gene Expression
FBgn0040391	CG2854	Gene Expression
FBgn0053218	lncRNA:CR33218	Gene Expression
FBgn0003079	Raf	Gene Expression
FBgn0003159	CG2841	Gene Expression
FBgn0040389	mRpL14	Gene Expression
FBgn0044047	Ilp6	Gene Expression
FBgn0040392	CG14050	Gene Expression
FBgn0023526	CG2865	Gene Expression
FBgn0023529	Grp170	Gene Expression
FBgn0023528	CG2924	Gene Expression
FBgn0027296	temp	Gene Expression
FBgn0023524	CG3078	Gene Expression
FBgn0023525	CG3191	Gene Expression
FBgn0000377	crn	Gene Expression
FBgn0001330	kz	Gene Expression
FBgn0004397	Vinc	Gene Expression
FBgn0023550	FarO	Gene Expression
FBgn0029603	CG14053	Gene Expression
FBgn0023542	Nmd3	Gene Expression
FBgn0023541	Cyp4d14	Gene Expression
FBgn0005670	Cyp4d1	Gene Expression
FBgn0004655	wapl	Gene Expression
FBgn0013432	bcn92	Gene Expression
FBgn0004861	ph-p	Gene Expression
FBgn0004860	ph-d	Gene Expression
FBgn0040394	CG16903	Gene Expression
FBgn0040376	AANATL7	Gene Expression
FBgn0040066	wds	Gene Expression
FBgn0001404	egh	Gene Expression
FBgn0040336	Seipin	Gene Expression
FBgn0040333	brv3	Gene Expression
FBgn0040334	Tsp3A	Gene Expression
FBgn0029629	eIF3g1	Gene Expression
FBgn0011566	Smyd3	Gene Expression
FBgn0011606	Klp3A	Gene Expression
FBgn0040375	CG13760	Gene Expression
FBgn0040377	Vha36-3	Gene Expression
FBgn0040388	boi	Gene Expression
FBgn0003714	tko	Gene Expression
FBgn0001150	gt	Gene Expression
FBgn0052797	CG32797	Gene Expression
FBgn0040385	CG12496	Gene Expression
FBgn0003371	sgg	Gene Expression
FBgn0003068	per	Gene Expression
FBgn0024993	Lint-O	Gene Expression
FBgn0024996	eIF2Bbeta	Gene Expression
FBgn0024997	CG2681	Gene Expression
